critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 2063 cities from data file
Initial distance (km): 10187617.637342
step 0  T=4999.998  best=10187617.637
step 200000  T=4524.185  best=7542911.859
step 400000  T=4093.652  best=7050101.628
step 600000  T=3704.089  best=6519192.431
step 800000  T=3351.598  best=5991931.474
step 1000000  T=3032.651  best=5726123.394
step 1200000  T=2744.056  best=5240920.688
step 1400000  T=2482.925  best=4959862.852
step 1600000  T=2246.643  best=4482935.347
step 1800000  T=2032.847  best=4213422.831
step 2000000  T=1839.396  best=3932450.649
step 2200000  T=1664.354  best=3562647.098
step 2400000  T=1505.970  best=3274353.321
step 2600000  T=1362.658  best=3192605.562
step 2800000  T=1232.984  best=2859035.977
step 3000000  T=1115.650  best=2659946.084
step 3200000  T=1009.482  best=2490153.357
step 3400000  T=913.417  best=2352046.140
step 3600000  T=826.494  best=2223935.808
step 3800000  T=747.842  best=2089306.804
step 4000000  T=676.676  best=1897482.578
step 4200000  T=612.282  best=1876891.193
step 4400000  T=554.015  best=1746886.534
step 4600000  T=501.294  best=1639230.334
step 4800000  T=453.589  best=1538645.689
step 5000000  T=410.425  best=1421176.459
step 5200000  T=371.367  best=1351859.254
step 5400000  T=336.027  best=1238191.090
step 5600000  T=304.050  best=1147499.006
step 5800000  T=275.116  best=1079989.720
step 6000000  T=248.935  best=1034583.326
step 6200000  T=225.246  best=979662.250
step 6400000  T=203.811  best=919466.496
step 6600000  T=184.416  best=875105.621
step 6800000  T=166.866  best=799548.007
step 7000000  T=150.987  best=777449.645
step 7200000  T=136.618  best=726174.276
step 7400000  T=123.617  best=680278.218
step 7600000  T=111.854  best=656887.628
step 7800000  T=101.209  best=623631.531
step 8000000  T=91.578  best=597614.176
step 8200000  T=82.863  best=580092.516
step 8400000  T=74.978  best=557357.854
step 8600000  T=67.843  best=533574.586
step 8800000  T=61.387  best=515183.331
step 9000000  T=55.545  best=499631.308
step 9200000  T=50.259  best=484783.918
step 9400000  T=45.476  best=472131.418
step 9600000  T=41.149  best=459738.839
step 9800000  T=37.233  best=448659.635
step 10000000  T=33.690  best=436878.921
step 10200000  T=30.484  best=426775.238
step 10400000  T=27.583  best=418064.681
step 10600000  T=24.958  best=410744.480
step 10800000  T=22.583  best=405032.855
step 11000000  T=20.434  best=399751.836
step 11200000  T=18.489  best=393849.581
step 11400000  T=16.730  best=385107.176
step 11600000  T=15.138  best=381094.354
step 11800000  T=13.697  best=378483.595
Best distance (km):    372564.206
Runtime (s):           1785.119
Wrote route:           route2k.dat
Wrote schedule:        an2k.csv
done
