T,current_km,best_km
13567.7960976,10777651.9036,10187617.6373
13545.7863705,10519553.5134,10187617.6373
13523.8123476,10602705.9744,10187617.6373
13501.8739711,10807968.4903,10187617.6373
13479.9711831,10675725.7523,10187617.6373
13458.1039259,10450871.6152,10187617.6373
13436.2721419,10363551.0122,10187617.6373
13414.4757734,10540798.0033,10187617.6373
13392.7147631,10486330.4138,10187617.6373
13370.9890535,10448251.3435,10187617.6373
13349.2985875,10274782.0105,10158345.21
13327.6433079,10479307.9354,10158345.21
13306.0231575,10404595.8497,10158345.21
13284.4380794,10579553.1821,10158345.21
13262.8880167,10437920.0602,10158345.21
13241.3729126,10534575.1595,10158345.21
13219.8927103,10235942.2468,10158345.21
13198.4473533,10640621.8915,10158345.21
13177.0367851,10650924.2001,10158345.21
13155.6609491,10517550.1561,10158345.21
13134.3197891,10531992.8951,10158345.21
13113.0132488,10671959.643,10158345.21
13091.7412721,10765022.7426,10158345.21
13070.5038028,10677247.2222,10158345.21
13049.3007851,10535466.9015,10158345.21
13028.1321629,10491155.75,10158345.21
13006.9978806,10635453.9344,10158345.21
12985.8978823,10551202.9943,10158345.21
12964.8321126,10598466.5708,10158345.21
12943.8005158,10535931.6178,10158345.21
12922.8030366,10652223.2731,10158345.21
12901.8396195,10455554.828,10158345.21
12880.9102094,10528412.7878,10158345.21
12860.014751,10457568.8402,10158345.21
12839.1531893,10586167.4545,10158345.21
12818.3254694,10638030.2361,10158345.21
12797.5315362,10928882.8452,10158345.21
12776.771335,10525863.0033,10158345.21
12756.0448111,10452079.1546,10158345.21
12735.3519098,10538499.1111,10158345.21
12714.6925766,10928271.0671,10158345.21
12694.0667571,10787546.0698,10158345.21
12673.4743968,10562598.1815,10158345.21
12652.9154416,10421557.4137,10158345.21
12632.3898371,10461575.2165,10158345.21
12611.8975294,10499130.9385,10158345.21
12591.4384644,10720025.3958,10158345.21
12571.0125881,10617647.1572,10158345.21
12550.6198468,10577113.8574,10158345.21
12530.2601866,10600041.8536,10158345.21
12509.9335539,10670947.7621,10158345.21
12489.6398952,10750324.6227,10158345.21
12469.379157,10549277.4189,10158345.21
12449.1512857,10421205.2257,10158345.21
12428.9562282,10664301.3011,10158345.21
12408.7939312,10556448.2012,10158345.21
12388.6643416,10465856.4781,10158345.21
12368.5674062,10447934.4664,10158345.21
12348.5030721,10631531.7899,10158345.21
12328.4712865,10725927.1422,10158345.21
12308.4719965,10548576.6949,10158345.21
12288.5051495,10709808.5405,10158345.21
12268.5706927,10413562.1166,10158345.21
12248.6685737,10478969.4233,10158345.21
12228.79874,10484997.6169,10158345.21
12208.9611391,10643449.9755,10158345.21
12189.1557189,10600948.6514,10158345.21
12169.3824272,10617539.8007,10158345.21
12149.6412117,10550950.2667,10158345.21
12129.9320205,10649602.4036,10158345.21
12110.2548016,10452099.7661,10158345.21
12090.6095032,10554742.806,10158345.21
12070.9960735,10307120.7769,10158345.21
12051.4144607,10476691.3392,10158345.21
12031.8646133,10484979.4843,10158345.21
12012.3464797,10475149.4599,10158345.21
11992.8600085,10482904.1442,10158345.21
11973.4051483,10442697.6392,10158345.21
11953.9818479,10433881.6224,10158345.21
11934.590056,10536859.565,10158345.21
11915.2297216,10486198.2893,10158345.21
11895.9007935,10454564.9211,10158345.21
11876.6032209,10448417.1548,10158345.21
11857.336953,10612497.7216,10158345.21
11838.1019388,10459878.2876,10158345.21
11818.8981277,10544078.1625,10158345.21
11799.7254691,10665152.2655,10158345.21
11780.5839125,10484846.2863,10158345.21
11761.4734073,10740827.8956,10158345.21
11742.3939033,10585691.966,10158345.21
11723.3453502,10516522.5925,10158345.21
11704.3276976,10458227.3397,10158345.21
11685.3408956,10544622.6855,10158345.21
11666.384894,10344703.2901,10158345.21
11647.4596429,10268238.4787,10071280.7436
11628.5650925,10422740.144,10071280.7436
11609.7011928,10482219.6193,10071280.7436
11590.8678942,10233365.9218,10071280.7436
11572.0651471,10140933.8686,10071280.7436
11553.2929019,10344603.5954,10071280.7436
11534.551109,10284515.5379,10071280.7436
11515.8397192,10193480.4013,10071280.7436
11497.158683,10308138.9387,10071280.7436
11478.5079513,10405705.6347,10071280.7436
11459.8874749,10117726.962,10071280.7436
11441.2972046,10228975.4375,10071280.7436
11422.7370916,10487655.2375,10071280.7436
11404.2070869,10399996.2522,10071280.7436
11385.7071415,10473215.8515,10071280.7436
11367.2372069,10562127.7193,10071280.7436
11348.7972343,10387218.8798,10071280.7436
11330.387175,10322779.0676,10071280.7436
11312.0069806,10427263.4279,10071280.7436
11293.6566027,10246047.3797,10071280.7436
11275.3359928,10249137.8119,10071280.7436
11257.0451026,10344667.3832,10071280.7436
11238.783884,10567462.5395,10071280.7436
11220.5522888,10502036.7943,10071280.7436
11202.3502689,10359663.8522,10071280.7436
11184.1777765,10155879.9355,10071280.7436
11166.0347635,10333206.887,10071280.7436
11147.9211822,10279419.7819,10071280.7436
11129.8369848,10176898.7394,10071280.7436
11111.7821236,10297105.2771,10071280.7436
11093.7565512,10298172.7818,10071280.7436
11075.7602198,10415273.1641,10071280.7436
11057.7930822,10251665.3348,10071280.7436
11039.8550909,10122307.1771,10012979.1377
11021.9461987,10557879.8356,10012979.1377
11004.0663584,10519590.4538,10012979.1377
10986.2155228,10436665.9997,10012979.1377
10968.3936449,10546070.88,10012979.1377
10950.6006777,10324277.4966,10012979.1377
10932.8365743,10333777.3613,10012979.1377
10915.1012879,10124883.6245,10012979.1377
10897.3947718,10067948.6661,10012979.1377
10879.7169792,10354526.4505,10012979.1377
10862.0678636,10329639.1944,10012979.1377
10844.4473785,10150250.3297,10012979.1377
10826.8554774,10391865.1574,10012979.1377
10809.2921139,10241386.6164,10012979.1377
10791.7572418,10299138.3085,10012979.1377
10774.2508148,10286327.7537,10012979.1377
10756.7727868,10063284.8809,9990359.50005
10739.3231117,10273886.51,9990359.50005
10721.9017435,10183733.4369,9990359.50005
10704.5086364,10137758.7255,9990359.50005
10687.1437444,10167454.6515,9990359.50005
10669.8070218,10094985.5324,9990359.50005
10652.4984229,10125681.7769,9983575.16152
10635.2179021,10123451.1281,9983575.16152
10617.9654137,10362946.7863,9983575.16152
10600.7409125,10278268.2448,9983575.16152
10583.5443528,10152067.8794,9983575.16152
10566.3756895,10316189.3331,9983575.16152
10549.2348773,10380216.8382,9983575.16152
10532.121871,10394113.9859,9983575.16152
10515.0366254,10390164.2552,9983575.16152
10497.9790956,10354455.5898,9983575.16152
10480.9492365,10085013.3323,9983575.16152
10463.9470034,10177853.4578,9983575.16152
10446.9723513,10103123.6435,9983575.16152
10430.0252356,10243949.9068,9983575.16152
10413.1056116,10206013.2226,9983575.16152
10396.2134346,10243692.7775,9983575.16152
10379.3486602,10274964.449,9983575.16152
10362.5112439,9985867.16865,9964090.14174
10345.7011413,10134899.3426,9964090.14174
10328.9183081,10058119.6338,9882529.04449
10312.1627001,10167060.9755,9882529.04449
10295.434273,10217829.8155,9882529.04449
10278.7329829,10158065.7855,9882529.04449
10262.0587857,10242886.8955,9882529.04449
10245.4116375,10228279.7042,9882529.04449
10228.7914942,10405923.0887,9882529.04449
10212.1983123,10080763.0317,9882529.04449
10195.6320479,9994471.81669,9882529.04449
10179.0926573,9959551.12583,9882529.04449
10162.580097,9930468.57185,9878405.76775
10146.0943234,10028523.3873,9878405.76775
10129.6352931,10079357.8149,9878405.76775
10113.2029627,10123056.8658,9878405.76775
10096.7972888,10243618.8866,9878405.76775
10080.4182284,10278629.8033,9878405.76775
10064.065738,10203875.212,9878405.76775
10047.7397748,10334124.7613,9878405.76775
10031.4402956,10202270.4501,9878405.76775
10015.1672575,10182499.3786,9878405.76775
9998.9206175,10141880.6599,9878405.76775
9982.70033291,10161599.7102,9878405.76775
9966.50636091,9968506.61951,9878405.76775
9950.33865884,10244369.7476,9878405.76775
9934.19718407,9848398.00027,9844996.36858
9918.08189405,10017983.4948,9786642.44249
9901.99274632,10046089.1962,9786642.44249
9885.92969846,9897458.18872,9786642.44249
9869.89270813,10097861.9266,9786642.44249
9853.88173307,10199773.4364,9786642.44249
9837.89673107,10230926.0029,9786642.44249
9821.93765999,10231391.8058,9786642.44249
9806.00447778,10090322.5512,9786642.44249
9790.09714243,10085794.0922,9786642.44249
9774.21561201,10381976.2891,9786642.44249
9758.35984468,10273549.3423,9786642.44249
9742.52979862,10328545.4723,9786642.44249
9726.72543212,10237644.0326,9786642.44249
9710.94670352,10167242.752,9786642.44249
9695.19357123,10040007.7626,9786642.44249
9679.46599373,10086121.2641,9786642.44249
9663.76392956,10199117.7916,9786642.44249
9648.08733734,10111342.4521,9786642.44249
9632.43617573,9933791.9613,9786642.44249
9616.8104035,9740550.22915,9721195.60927
9601.20997945,9948993.26932,9677467.79505
9585.63486247,10044976.461,9677467.79505
9570.08501149,10039832.732,9677467.79505
9554.56038554,10103454.299,9677467.79505
9539.06094369,10158562.6366,9677467.79505
9523.58664509,10080284.7642,9677467.79505
9508.13744896,10032204.4401,9677467.79505
9492.71331456,10130492.9484,9677467.79505
9477.31420125,10023065.0869,9677467.79505
9461.94006844,10057832.7356,9677467.79505
9446.5908756,9899053.79807,9677467.79505
9431.26658227,9852108.50939,9677467.79505
9415.96714807,9871572.86305,9677467.79505
9400.69253267,9966996.00578,9677467.79505
9385.4426958,9882096.71997,9677467.79505
9370.21759727,9943770.80789,9677467.79505
9355.01719695,10015469.9807,9677467.79505
9339.84145477,9988915.6443,9677467.79505
9324.69033073,10293172.9178,9677467.79505
9309.56378491,10152694.8753,9677467.79505
9294.46177742,9820751.71181,9677467.79505
9279.38426846,9796148.74596,9677467.79505
9264.33121828,9968299.38148,9677467.79505
9249.30258722,9781867.08986,9677467.79505
9234.29833566,9835662.20478,9677467.79505
9219.31842405,10030970.0246,9677467.79505
9204.3628129,10011484.8753,9677467.79505
9189.4314628,9898235.6055,9677467.79505
9174.52433439,10169768.2446,9677467.79505
9159.64138838,9774479.50814,9677467.79505
9144.78258553,9901723.97225,9642840.82168
9129.94788669,9833788.23386,9632099.90482
9115.13725275,9702927.30148,9632099.90482
9100.35064467,10046451.4208,9632099.90482
9085.58802348,9984781.55908,9632099.90482
9070.84935026,9981060.60405,9632099.90482
9056.13458618,10085812.8075,9632099.90482
9041.44369244,9957213.00306,9632099.90482
9026.77663031,9896963.09307,9632099.90482
9012.13336115,9970175.30468,9632099.90482
8997.51384635,9911613.38071,9632099.90482
8982.91804738,9582304.25351,9571895.70599
8968.34592577,9813728.91936,9571895.70599
8953.7974431,9528317.64909,9518763.83928
8939.27256103,9606681.94543,9506997.51171
8924.77124128,9885004.39905,9506997.51171
8910.29344563,9930417.77978,9506997.51171
8895.8391359,10069976.7279,9506997.51171
8881.40827401,9817917.41221,9506997.51171
8867.00082191,9846146.07898,9506997.51171
8852.61674163,9633309.2122,9506997.51171
8838.25599526,9907931.75195,9506997.51171
8823.91854494,9723941.27566,9506997.51171
8809.60435289,9911874.08517,9506997.51171
8795.31338136,10024717.3848,9506997.51171
8781.04559271,9897060.41904,9506997.51171
8766.80094931,9877846.44102,9506997.51171
8752.57941362,9617402.45169,9506997.51171
8738.38094816,9438333.53554,9413599.60371
8724.2055155,9438275.7975,9321243.65595
8710.05307827,9746524.13277,9321243.65595
8695.92359918,9674655.38696,9321243.65595
8681.81704098,9502046.2295,9321243.65595
8667.73336649,9544402.04799,9321243.65595
8653.67253859,9549621.02181,9321243.65595
8639.63452021,9688716.60906,9321243.65595
8625.61927436,9750718.65461,9321243.65595
8611.62676409,9834343.16447,9321243.65595
8597.65695251,9773645.43984,9321243.65595
