critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 150 cities from data file
Auto T0 (km): 10141.3  (probe moves=3000)
Initial distance (km): 317298.645290
step 0  T=10141.279  best=316912.572
step 200000  T=9176.208  best=266279.033
step 400000  T=8302.976  best=265461.681
step 600000  T=7512.844  best=262369.067
step 800000  T=6797.902  best=260668.538
step 1000000  T=6150.996  best=256833.412
step 1200000  T=5565.651  best=253318.463
step 1400000  T=5036.009  best=247027.291
step 1600000  T=4556.769  best=247027.291
step 1800000  T=4123.135  best=230177.072
step 2000000  T=3730.767  best=230177.072
step 2200000  T=3375.738  best=230177.072
step 2400000  T=3054.494  best=230177.072
step 2600000  T=2763.820  best=230177.072
step 2800000  T=2500.808  best=227469.104
step 3000000  T=2262.824  best=223449.160
step 3200000  T=2047.488  best=219697.818
step 3400000  T=1852.644  best=206400.224
step 3600000  T=1676.341  best=206192.643
step 3800000  T=1516.816  best=197043.968
step 4000000  T=1372.472  best=193700.629
step 4200000  T=1241.864  best=186049.330
step 4400000  T=1123.685  best=173075.715
step 4600000  T=1016.752  best=165080.664
step 4800000  T=919.996  best=161039.506
step 5000000  T=832.446  best=151537.804
step 5200000  T=753.229  best=141560.728
step 5400000  T=681.549  best=136833.261
step 5600000  T=616.691  best=131231.398
step 5800000  T=558.005  best=117196.980
step 6000000  T=504.904  best=113842.552
step 6200000  T=456.856  best=101996.567
step 6400000  T=413.381  best=100611.714
step 6600000  T=374.042  best=91837.237
step 6800000  T=338.447  best=86986.094
step 7000000  T=306.240  best=84068.557
step 7200000  T=277.097  best=80708.857
step 7400000  T=250.728  best=73940.610
step 7600000  T=226.868  best=72364.563
step 7800000  T=205.279  best=69997.276
step 8000000  T=185.744  best=66382.559
step 8200000  T=168.068  best=61241.012
step 8400000  T=152.074  best=61154.115
step 8600000  T=137.602  best=58181.647
step 8800000  T=124.508  best=55901.472
step 9000000  T=112.659  best=55808.352
step 9200000  T=101.938  best=53242.664
step 9400000  T=92.238  best=52260.474
step 9600000  T=83.460  best=51800.573
step 9800000  T=75.518  best=50391.915
step 10000000  T=68.331  best=49960.249
step 10200000  T=61.829  best=49649.197
step 10400000  T=55.945  best=49243.772
step 10600000  T=50.621  best=49207.791
step 10800000  T=45.804  best=48741.451
step 11000000  T=41.445  best=48496.104
step 11200000  T=37.501  best=48496.104
step 11400000  T=33.932  best=48379.570
step 11600000  T=30.703  best=48379.570
step 11800000  T=27.781  best=48379.570
Best distance (km):    48379.570
Runtime (s):           120.013
Wrote route:           route150.dat
Wrote schedule:        an150.csv
done
