critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 150 cities from data file
Initial distance (km): 317298.645290
step 0  T=4999.998  best=317069.117
step 200000  T=4524.185  best=249507.551
step 400000  T=4093.652  best=249507.551
step 600000  T=3704.089  best=243399.941
step 800000  T=3351.598  best=243399.941
step 1000000  T=3032.651  best=238963.974
step 1200000  T=2744.056  best=237352.621
step 1400000  T=2482.925  best=229479.979
step 1600000  T=2246.643  best=227521.614
step 1800000  T=2032.847  best=216246.801
step 2000000  T=1839.396  best=211115.697
step 2200000  T=1664.354  best=198705.494
step 2400000  T=1505.970  best=198705.494
step 2600000  T=1362.658  best=189815.550
step 2800000  T=1232.984  best=178294.026
step 3000000  T=1115.650  best=163889.074
step 3200000  T=1009.482  best=163889.074
step 3400000  T=913.417  best=154851.007
step 3600000  T=826.494  best=150932.549
step 3800000  T=747.842  best=142984.775
step 4000000  T=676.676  best=133534.144
step 4200000  T=612.282  best=127102.528
step 4400000  T=554.015  best=118110.225
step 4600000  T=501.294  best=108653.126
step 4800000  T=453.589  best=108653.126
step 5000000  T=410.425  best=103389.126
step 5200000  T=371.367  best=95259.365
step 5400000  T=336.027  best=86940.310
step 5600000  T=304.050  best=83707.542
step 5800000  T=275.116  best=80768.571
step 6000000  T=248.935  best=73872.734
step 6200000  T=225.246  best=70327.489
step 6400000  T=203.811  best=67093.985
step 6600000  T=184.416  best=66580.278
step 6800000  T=166.866  best=64259.133
step 7000000  T=150.987  best=61440.314
step 7200000  T=136.618  best=58932.371
step 7400000  T=123.617  best=57780.713
step 7600000  T=111.854  best=54427.546
step 7800000  T=101.209  best=53974.213
step 8000000  T=91.578  best=51820.921
step 8200000  T=82.863  best=50013.398
step 8400000  T=74.978  best=49717.128
step 8600000  T=67.843  best=49717.128
step 8800000  T=61.387  best=49717.128
step 9000000  T=55.545  best=48918.533
step 9200000  T=50.259  best=48567.790
step 9400000  T=45.476  best=48567.790
step 9600000  T=41.149  best=48333.690
step 9800000  T=37.233  best=48294.091
step 10000000  T=33.690  best=48210.729
step 10200000  T=30.484  best=48210.729
step 10400000  T=27.583  best=48210.729
step 10600000  T=24.958  best=48159.004
step 10800000  T=22.583  best=48153.811
step 11000000  T=20.434  best=48131.905
step 11200000  T=18.489  best=48131.905
step 11400000  T=16.730  best=48131.905
step 11600000  T=15.138  best=48131.905
step 11800000  T=13.697  best=48131.905
Best distance (km):    48131.905
Runtime (s):           130.808
Wrote route:           route150.dat
Wrote schedule:        an150.csv
done
