T,current_km,best_km
9155.19876688,734467.883426,732177.736605
9141.29026966,2413647.79548,732177.736605
9127.4029021,2632460.80953,732177.736605
9113.53663211,2658055.53012,732177.736605
9099.69142764,2617761.69306,732177.736605
9085.86725668,2689713.23303,732177.736605
9072.06408727,2648261.60691,732177.736605
9058.28188753,2648134.39868,732177.736605
9044.52062557,2634476.57556,732177.736605
9030.78026961,2662530.07908,732177.736605
9017.06078787,2644485.2036,732177.736605
9003.36214865,2624786.09927,732177.736605
8989.68432028,2675836.89401,732177.736605
8976.02727114,2693664.87245,732177.736605
8962.39096968,2676739.91197,732177.736605
8948.77538436,2669487.95967,732177.736605
8935.18048372,2680835.94601,732177.736605
8921.60623634,2639419.42594,732177.736605
8908.05261083,2628911.13591,732177.736605
8894.51957587,2612022.23281,732177.736605
8881.00710017,2631614.859,732177.736605
8867.51515251,2653633.48576,732177.736605
8854.0437017,2595344.4166,732177.736605
8840.5927166,2638787.75414,732177.736605
8827.16216611,2603841.72444,732177.736605
8813.7520192,2682080.05873,732177.736605
8800.36224487,2699788.20091,732177.736605
8786.99281216,2605933.13736,732177.736605
8773.64369018,2645456.13803,732177.736605
8760.31484807,2572761.09872,732177.736605
8747.00625501,2666026.92667,732177.736605
8733.71788025,2636282.51264,732177.736605
8720.44969308,2649205.19485,732177.736605
8707.20166282,2640878.70432,732177.736605
8693.97375884,2655138.85402,732177.736605
8680.76595059,2596841.46218,732177.736605
8667.57820752,2603042.20118,732177.736605
8654.41049915,2600706.23137,732177.736605
8641.26279505,2622709.53643,732177.736605
8628.13506482,2601737.40015,732177.736605
8615.02727813,2641056.79071,732177.736605
8601.93940467,2617589.12243,732177.736605
8588.87141419,2631077.5935,732177.736605
8575.82327649,2640801.95178,732177.736605
8562.7949614,2591232.64125,732177.736605
8549.78643882,2675234.87576,732177.736605
8536.79767866,2642599.60247,732177.736605
8523.82865092,2652536.3381,732177.736605
8510.87932561,2637311.98007,732177.736605
8497.9496728,2626323.11047,732177.736605
8485.03966261,2689733.88908,732177.736605
8472.14926519,2610818.61368,732177.736605
8459.27845074,2644889.75987,732177.736605
8446.42718953,2638045.82824,732177.736605
8433.59545184,2651144.97434,732177.736605
8420.78320801,2606478.43507,732177.736605
8407.99042843,2660942.33088,732177.736605
8395.21708352,2641504.22776,732177.736605
8382.46314377,2679441.04372,732177.736605
8369.72857969,2667119.37058,732177.736605
8357.01336185,2635429.08952,732177.736605
8344.31746086,2626420.89814,732177.736605
8331.64084737,2704191.16976,732177.736605
8318.98349207,2624035.58261,732177.736605
