critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 2063 cities from data file
Initial distance (km): 10187617.637342
step 0  T=4999.998  best=10187465.523
step 200000  T=4524.185  best=7449364.794
step 400000  T=4093.652  best=6877501.073
step 600000  T=3704.089  best=6632310.729
step 800000  T=3351.598  best=6175116.171
step 1000000  T=3032.651  best=5789560.911
step 1200000  T=2744.056  best=5467296.110
step 1400000  T=2482.925  best=5088611.250
step 1600000  T=2246.643  best=4575220.340
step 1800000  T=2032.847  best=4253016.229
step 2000000  T=1839.396  best=3798171.304
step 2200000  T=1664.354  best=3570103.550
step 2400000  T=1505.970  best=3308195.328
step 2600000  T=1362.658  best=3037323.877
step 2800000  T=1232.984  best=2770814.267
step 3000000  T=1115.650  best=2633564.608
step 3200000  T=1009.482  best=2476555.905
step 3400000  T=913.417  best=2350268.911
step 3600000  T=826.494  best=2256606.524
step 3800000  T=747.842  best=2108013.283
step 4000000  T=676.676  best=1993572.634
step 4200000  T=612.282  best=1830373.907
step 4400000  T=554.015  best=1719388.840
step 4600000  T=501.294  best=1652657.941
step 4800000  T=453.589  best=1530496.139
step 5000000  T=410.425  best=1397960.543
step 5200000  T=371.367  best=1331675.848
step 5400000  T=336.027  best=1278357.526
step 5600000  T=304.050  best=1185201.549
step 5800000  T=275.116  best=1116273.257
step 6000000  T=248.935  best=1037818.790
step 6200000  T=225.246  best=981177.000
step 6400000  T=203.811  best=909988.611
step 6600000  T=184.416  best=870657.151
step 6800000  T=166.866  best=826327.615
step 7000000  T=150.987  best=768647.526
step 7200000  T=136.618  best=720674.150
step 7400000  T=123.617  best=675534.440
step 7600000  T=111.854  best=647883.010
step 7800000  T=101.209  best=600122.028
step 8000000  T=91.578  best=574352.158
step 8200000  T=82.863  best=551435.239
step 8400000  T=74.978  best=539579.429
step 8600000  T=67.843  best=518218.412
step 8800000  T=61.387  best=502830.973
step 9000000  T=55.545  best=486004.157
step 9200000  T=50.259  best=472165.510
step 9400000  T=45.476  best=462313.744
step 9600000  T=41.149  best=447050.856
step 9800000  T=37.233  best=437258.403
step 10000000  T=33.690  best=427468.027
step 10200000  T=30.484  best=416841.889
step 10400000  T=27.583  best=408228.362
step 10600000  T=24.958  best=401175.615
step 10800000  T=22.583  best=395286.059
step 11000000  T=20.434  best=389465.900
step 11200000  T=18.489  best=384299.238
step 11400000  T=16.730  best=377944.323
step 11600000  T=15.138  best=374429.711
step 11800000  T=13.697  best=369723.459
Best distance (km):    367005.757
Runtime (s):           1882.756
Wrote route:           route2k.dat
Wrote schedule:        an2k.csv
done
