critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 150 cities from data file
Initial distance (km): 317298.645290
step 0  T=4999.998  best=315470.073
step 200000  T=4524.185  best=247071.449
step 400000  T=4093.652  best=247071.449
step 600000  T=3704.089  best=245231.978
step 800000  T=3351.598  best=235609.719
step 1000000  T=3032.651  best=235609.719
step 1200000  T=2744.056  best=235609.719
step 1400000  T=2482.925  best=232719.605
step 1600000  T=2246.643  best=220886.466
step 1800000  T=2032.847  best=209756.664
step 2000000  T=1839.396  best=209756.664
step 2200000  T=1664.354  best=202411.572
step 2400000  T=1505.970  best=197490.933
step 2600000  T=1362.658  best=186095.174
step 2800000  T=1232.984  best=182046.869
step 3000000  T=1115.650  best=176481.101
step 3200000  T=1009.482  best=165851.373
step 3400000  T=913.417  best=160776.427
step 3600000  T=826.494  best=147314.651
step 3800000  T=747.842  best=132432.322
step 4000000  T=676.676  best=132432.322
step 4200000  T=612.282  best=129347.282
step 4400000  T=554.015  best=122456.558
step 4600000  T=501.294  best=111637.365
step 4800000  T=453.589  best=107162.395
step 5000000  T=410.425  best=100383.644
step 5200000  T=371.367  best=95096.626
step 5400000  T=336.027  best=89453.993
step 5600000  T=304.050  best=85651.289
step 5800000  T=275.116  best=80741.031
step 6000000  T=248.935  best=75341.028
step 6200000  T=225.246  best=73726.365
step 6400000  T=203.811  best=70049.008
step 6600000  T=184.416  best=66139.699
step 6800000  T=166.866  best=64031.812
step 7000000  T=150.987  best=59728.415
step 7200000  T=136.618  best=59203.364
step 7400000  T=123.617  best=56898.022
step 7600000  T=111.854  best=55280.646
step 7800000  T=101.209  best=52694.860
step 8000000  T=91.578  best=52330.854
step 8200000  T=82.863  best=52077.300
step 8400000  T=74.978  best=50037.491
step 8600000  T=67.843  best=49947.281
step 8800000  T=61.387  best=49429.093
step 9000000  T=55.545  best=48962.351
step 9200000  T=50.259  best=48463.956
step 9400000  T=45.476  best=48463.956
step 9600000  T=41.149  best=48463.956
step 9800000  T=37.233  best=48286.108
step 10000000  T=33.690  best=48110.449
step 10200000  T=30.484  best=48061.298
step 10400000  T=27.583  best=47962.987
step 10600000  T=24.958  best=47940.251
step 10800000  T=22.583  best=47871.458
step 11000000  T=20.434  best=47871.458
step 11200000  T=18.489  best=47867.829
step 11400000  T=16.730  best=47867.829
step 11600000  T=15.138  best=47867.829
step 11800000  T=13.697  best=47867.829
Best distance (km):    47860.594
Runtime (s):           131.122
Wrote route:           route150.dat
Wrote schedule:        an150.csv
done
