critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 1207 cities from data file
Auto T0 (km): 9155.21  (probe moves=20000)
Initial distance (km): 732177.736605
step 0  T=9155.199  best=732177.737
step 200000  T=7863.936  best=732177.737
step 400000  T=6754.795  best=732177.737
step 600000  T=5802.089  best=732177.737
step 800000  T=4983.754  best=732177.737
step 1000000  T=4280.838  best=732177.737
step 1200000  T=3677.062  best=732177.737
step 1400000  T=3158.444  best=732177.737
step 1600000  T=2712.972  best=732177.737
step 1800000  T=2330.331  best=732177.737
step 2000000  T=2001.657  best=732177.737
step 2200000  T=1719.341  best=732177.737
step 2400000  T=1476.842  best=732177.737
step 2600000  T=1268.546  best=732177.737
step 2800000  T=1089.629  best=732177.737
step 3000000  T=935.946  best=732177.737
step 3200000  T=803.939  best=732177.737
step 3400000  T=690.550  best=732177.737
step 3600000  T=593.154  best=732177.737
step 3800000  T=509.495  best=732177.737
step 4000000  T=437.635  best=732177.737
step 4200000  T=375.910  best=676513.081
step 4400000  T=322.891  best=607912.759
step 4600000  T=277.350  best=553202.255
step 4800000  T=238.232  best=486740.871
step 5000000  T=204.632  best=425353.830
step 5200000  T=175.770  best=395174.732
step 5400000  T=150.979  best=337462.500
step 5600000  T=129.685  best=300436.782
step 5800000  T=111.394  best=272978.667
step 6000000  T=95.683  best=249078.464
step 6200000  T=82.188  best=222475.387
step 6400000  T=70.596  best=207287.378
step 6600000  T=60.639  best=190855.791
step 6800000  T=52.086  best=176832.731
step 7000000  T=44.740  best=163843.990
step 7200000  T=38.430  best=156180.106
step 7400000  T=33.010  best=148510.302
step 7600000  T=28.354  best=140996.407
step 7800000  T=24.355  best=134551.287
step 8000000  T=20.920  best=129129.734
step 8200000  T=17.969  best=125626.779
step 8400000  T=15.435  best=122319.570
step 8600000  T=13.258  best=119608.798
step 8800000  T=11.388  best=117324.144
step 9000000  T=9.782  best=114135.284
step 9200000  T=8.402  best=112371.716
step 9400000  T=7.217  best=111359.485
step 9600000  T=6.199  best=110349.366
step 9800000  T=5.325  best=109104.231
step 10000000  T=4.574  best=108002.179
step 10200000  T=3.929  best=107253.195
step 10400000  T=3.375  best=106358.438
step 10600000  T=2.899  best=105963.658
step 10800000  T=2.490  best=105517.988
step 11000000  T=2.139  best=105220.509
step 11200000  T=1.837  best=104375.980
step 11400000  T=1.578  best=103690.383
step 11600000  T=1.355  best=103283.025
step 11800000  T=1.164  best=103194.050
Best distance (km):    102861.533
Runtime (s):           912.177
Wrote route:           route1k.dat
Wrote schedule:        an1k.csv
done
