T,current_km,best_km
4184.70983893,294006.257652,249507.551176
4180.5272197,316553.120762,249507.551176
4176.34878101,297513.537511,249507.551176
4172.17451866,292642.025042,249507.551176
4168.00442849,288211.845178,249507.551176
4163.83850633,303975.664629,249507.551176
4159.67674801,307295.365051,249507.551176
4155.51914937,302820.541584,249507.551176
4151.36570625,283331.92219,249507.551176
4147.2164145,301695.2097,249507.551176
4143.07126997,304406.926037,249507.551176
4138.93026851,290886.593992,249507.551176
4134.79340598,312631.937718,249507.551176
4130.66067825,288086.585997,249507.551176
4126.53208118,306887.076761,249507.551176
4122.40761065,303237.109915,249507.551176
4118.28726253,302247.802604,249507.551176
4114.17103269,304639.549612,249507.551176
4110.05891703,299685.397601,249507.551176
4105.95091144,277205.689156,249507.551176
4101.84701179,296338.321419,249507.551176
4097.74721399,289018.776024,249507.551176
4093.65151395,299116.569488,249507.551176
4089.55990756,272773.692235,249507.551176
4085.47239073,293443.57432,249507.551176
4081.38895937,279584.580972,249507.551176
4077.30960941,312172.194841,249507.551176
4073.23433675,297918.115506,249507.551176
4069.16313734,306913.10936,249507.551176
4065.09600709,307533.071483,249507.551176
4061.03294194,303061.17055,249507.551176
4056.97393782,296521.217734,249507.551176
4052.91899068,290254.462516,249507.551176
4048.86809646,298089.708952,249507.551176
4044.82125112,310020.650168,249507.551176
4040.77845059,307129.605877,249507.551176
4036.73969085,288834.350456,249507.551176
4032.70496785,307554.151765,249507.551176
4028.67427755,294204.596044,249507.551176
4024.64761593,271859.173464,249507.551176
4020.62497897,296715.587397,249507.551176
4016.60636263,285459.264092,249507.551176
4012.5917629,284708.359761,249507.551176
4008.58117576,283086.359137,249507.551176
4004.5745972,306137.193126,249507.551176
4000.57202323,287862.497108,249507.551176
3996.57344982,285002.927006,249507.551176
3992.578873,299702.402703,249507.551176
3988.58828875,280279.833533,249507.551176
3984.6016931,291688.830392,249507.551176
3980.61908205,279618.448605,249507.551176
3976.64045162,277141.73721,249507.551176
3972.66579783,306780.630544,249507.551176
3968.69511671,295626.486667,249507.551176
3964.72840429,289158.115999,249507.551176
3960.7656566,298235.781386,249507.551176
3956.80686968,284197.076001,249507.551176
3952.85203956,306175.543047,249507.551176
3948.9011623,269135.564478,249507.551176
3944.95423395,269056.443918,249507.551176
3941.01125055,287442.509424,249507.551176
3937.07220816,308536.112685,249507.551176
3933.13710285,294766.94298,249507.551176
3929.20593068,297309.78762,249507.551176
3925.27868772,296774.279234,249507.551176
3921.35537004,313708.834949,249507.551176
3917.43597371,301670.906743,249507.551176
3913.52049482,297117.754655,249507.551176
3909.60892946,263481.676956,249507.551176
3905.70127371,287631.8379,249507.551176
3901.79752366,305729.192643,249507.551176
3897.89767541,292989.599875,249507.551176
3894.00172506,276500.14514,249507.551176
3890.10966871,286518.823246,249507.551176
3886.22150248,294908.613272,249507.551176
3882.33722247,291401.930341,249507.551176
3878.4568248,291320.069456,249507.551176
3874.58030559,299182.600841,249507.551176
3870.70766096,305235.030128,249507.551176
3866.83888704,285221.050594,249507.551176
3862.97397997,286686.275427,249507.551176
3859.11293587,288005.281121,249507.551176
3855.25575088,278396.781785,249507.551176
3851.40242115,286718.338952,249507.551176
3847.55294283,276613.843069,249507.551176
3843.70731206,294950.38382,249507.551176
3839.865525,296628.662195,249507.551176
3836.02757781,280924.65202,249507.551176
3832.19346665,284006.528293,249507.551176
3828.36318769,289507.827504,249507.551176
3824.53673709,286773.892238,249507.551176
3820.71411102,285929.549056,249507.551176
3816.89530568,298463.434577,249507.551176
3813.08031723,283340.440139,249507.551176
3809.26914187,288500.141654,249507.551176
3805.46177578,298417.962505,249507.551176
3801.65821515,296346.037971,249507.551176
3797.85845618,303114.709475,249507.551176
3794.06249507,267884.012082,249507.551176
3790.27032803,292712.449321,249507.551176
3786.48195126,281790.524765,249507.551176
3782.69736097,299251.201017,249507.551176
3778.91655338,267166.934328,249507.551176
3775.13952471,300289.052279,249507.551176
3771.36627119,294945.987412,249507.551176
3767.59678903,298212.518743,249507.551176
3763.83107447,308177.137255,249507.551176
3760.06912374,287851.916191,249507.551176
3756.31093309,292458.745681,249507.551176
3752.55649875,317696.367711,249507.551176
3748.80581697,282478.392162,249507.551176
3745.05888399,305062.005492,249507.551176
3741.31569608,304063.693541,249507.551176
3737.57624948,289836.721024,249507.551176
3733.84054046,287001.292505,249507.551176
3730.10856529,287600.923415,249507.551176
3726.38032023,296366.092276,249507.551176
3722.65580155,280824.472514,249507.551176
3718.93500552,281892.949547,249507.551176
3715.21792844,313014.257696,249507.551176
3711.50456657,282625.481806,243399.940869
3707.79491621,290002.041277,243399.940869
3704.08897365,308938.757616,243399.940869
3700.38673518,307919.353202,243399.940869
3696.68819709,287630.798391,243399.940869
3692.9933557,287570.362035,243399.940869
3689.30220731,287602.618113,243399.940869
3685.61474821,303203.559371,243399.940869
3681.93097474,292915.476534,243399.940869
3678.2508832,298375.953287,243399.940869
3674.57446991,294376.149085,243399.940869
3670.9017312,293755.752108,243399.940869
3667.23266339,299633.585351,243399.940869
3663.56726281,289986.020572,243399.940869
3659.90552581,304643.621841,243399.940869
3656.24744871,282515.377401,243399.940869
3652.59302787,280742.718992,243399.940869
3648.94225961,295537.136624,243399.940869
3645.29514031,287628.303269,243399.940869
3641.6516663,302288.018013,243399.940869
3638.01183394,286741.235411,243399.940869
3634.3756396,293272.074937,243399.940869
3630.74307963,309233.376283,243399.940869
3627.11415041,297220.792641,243399.940869
3623.48884831,296636.118351,243399.940869
3619.8671697,301029.913238,243399.940869
3616.24911095,283434.015647,243399.940869
3612.63466846,266746.618096,243399.940869
3609.02383861,300701.41326,243399.940869
