critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 2063 cities from data file
Auto T0 (km): 17002.7  (probe moves=20000)
Initial distance (km): 10187617.637342
step 0  T=17002.637  best=10187617.637
step 200000  T=14454.653  best=10187617.637
step 400000  T=12288.505  best=10158345.210
step 600000  T=10446.972  best=9983575.162
step 800000  T=8881.408  best=9506997.512
step 1000000  T=7550.457  best=9160180.537
step 1200000  T=6418.959  best=8752962.221
step 1400000  T=5457.026  best=8045317.318
step 1600000  T=4639.246  best=7510843.908
step 1800000  T=3944.017  best=6941489.246
step 2000000  T=3352.974  best=6296052.353
step 2200000  T=2850.503  best=5604501.938
step 2400000  T=2423.332  best=4769502.686
step 2600000  T=2060.176  best=4297692.491
step 2800000  T=1751.442  best=3671911.864
step 3000000  T=1488.974  best=3346722.521
step 3200000  T=1265.839  best=3086013.086
step 3400000  T=1076.143  best=2724780.060
step 3600000  T=914.874  best=2452339.219
step 3800000  T=777.773  best=2208289.664
step 4000000  T=661.217  best=1991833.656
step 4200000  T=562.128  best=1795330.450
step 4400000  T=477.889  best=1628552.659
step 4600000  T=406.273  best=1469149.287
step 4800000  T=345.390  best=1342113.867
step 5000000  T=293.630  best=1179733.499
step 5200000  T=249.627  best=1070094.201
step 5400000  T=212.219  best=1002112.181
step 5600000  T=180.416  best=908314.831
step 5800000  T=153.379  best=839978.353
step 6000000  T=130.394  best=763632.995
step 6200000  T=110.853  best=716451.692
step 6400000  T=94.241  best=680591.702
step 6600000  T=80.118  best=638583.087
step 6800000  T=68.112  best=592310.376
step 7000000  T=57.905  best=561900.496
step 7200000  T=49.227  best=534757.587
step 7400000  T=41.850  best=506445.101
step 7600000  T=35.579  best=489250.275
step 7800000  T=30.247  best=472363.711
step 8000000  T=25.714  best=454885.543
step 8200000  T=21.861  best=442810.688
step 8400000  T=18.585  best=433177.453
step 8600000  T=15.800  best=422999.590
step 8800000  T=13.432  best=416255.996
step 9000000  T=11.419  best=408058.295
step 9200000  T=9.708  best=400284.953
step 9400000  T=8.253  best=393003.439
step 9600000  T=7.016  best=386374.330
step 9800000  T=5.965  best=382206.347
step 10000000  T=5.071  best=378321.699
step 10200000  T=4.311  best=375594.685
step 10400000  T=3.665  best=372059.315
step 10600000  T=3.116  best=369799.979
step 10800000  T=2.649  best=367258.055
step 11000000  T=2.252  best=363116.103
step 11200000  T=1.914  best=359166.676
step 11400000  T=1.628  best=357043.774
step 11600000  T=1.384  best=353853.385
step 11800000  T=1.176  best=351254.387
Best distance (km):    347883.227
Runtime (s):           1878.256
Wrote route:           route2k.dat
Wrote schedule:        an2k.csv
done
